Title,link
Paint It Black,https://www.youtube.com/watch?v=O4irXQhgMqg
The Diary of Jane,https://www.youtube.com/watch?v=DWaB4PXCwFU
Maps,https://www.youtube.com/watch?v=oIIxlgcuQRU
PILLOWTALK,https://www.youtube.com/watch?v=-x-ce3425yQ
Rockabye (feat. Sean Paul & Anne-Marie),https://www.youtube.com/watch?v=papuvlVeZg8
The Cave,https://www.youtube.com/watch?v=fNy8llTLvuA
Toxicity,https://www.youtube.com/watch?v=iywaBOMvYLI
Billie Jean,https://www.youtube.com/watch?v=B02LXuKWGTI
Drive,https://www.youtube.com/watch?v=dQe3DKDQRRs
Redbone,https://www.youtube.com/watch?v=BA4rSO-h9Io
Blowin' in the Wind,https://www.youtube.com/watch?v=MMFj8uDubsE
Something Just Like This,https://www.youtube.com/watch?v=FM7MFYoylVs
Purple Haze,https://www.youtube.com/watch?v=WGoDaYjdfSg
I Will Follow You Into The Dark,https://www.youtube.com/watch?v=3iV_1ESMHaI
Home,https://www.youtube.com/watch?v=HoRkntoHkIE
Hallelujah,https://www.youtube.com/watch?v=LRP8d7hhpoQ
Your Body Is a Wonderland,https://www.youtube.com/watch?v=m8dYpp0Pj5k
Bleed It Out,https://www.youtube.com/watch?v=OnuuYcqhzCE
Ace of Spades,https://www.youtube.com/watch?v=3mbvWn1EY6g
New Rules,https://www.youtube.com/watch?v=ClhLNUPqv8Q
Summer,https://www.youtube.com/watch?v=ebXbLfLACGM
Sunshine of Your Love,https://www.youtube.com/watch?v=3jYT1jFtxoE
Roses,https://www.youtube.com/watch?v=j76ag1olq18
Naked As We Came,https://www.youtube.com/watch?v=Nd-A-iiPoLg
Go Your Own Way,https://www.youtube.com/watch?v=EjjDgxbnTww
Decks Dark,https://www.youtube.com/watch?v=Del3C2W63Pk
Cornfield Chase,https://www.youtube.com/watch?v=7GlsxNI4LVI
Supermassive Black Hole,https://www.youtube.com/watch?v=Xsp3_a-PMTw
The A Team,https://www.youtube.com/watch?v=UAWcs5H-qgQ
One More Time,https://www.youtube.com/watch?v=iaMbvIwiijE
Points of Authority,https://www.youtube.com/watch?v=TV5vfYOiwYU
Good Riddance (Time of Your Life),https://www.youtube.com/watch?v=CnQ8N1KacJc
The Times They Are a-Changin',https://www.youtube.com/watch?v=90WD_ats6eE
Avril 14th,https://www.youtube.com/watch?v=-LgYzva-xq8
See You Again (feat. Charlie Puth),https://www.youtube.com/watch?v=cPyovQwFmhE
Why'd You Only Call Me When You're High?,https://www.youtube.com/watch?v=6366dxFf-Os
New Slang,https://www.youtube.com/watch?v=zYwCmcB0XMw
Learning to Fly,https://www.youtube.com/watch?v=nVhNCTH8pDs
The Greatest,https://www.youtube.com/watch?v=GKSRyLdjsPA
Safe and Sound,https://www.youtube.com/watch?v=47dtFZ8CFo8
Arabella,https://www.youtube.com/watch?v=Nj8r3qmOoZ8
Gold,https://www.youtube.com/watch?v=0rMwaEK0jn0
Threnody,https://www.youtube.com/watch?v=5N9DYWFIc8w
Kids,https://www.youtube.com/watch?v=fe4EK4HSPkI
Your Hand in Mine,https://www.youtube.com/watch?v=YLlYQQrHmh8
Tears in Heaven,https://www.youtube.com/watch?v=JxPj3GAYYZ0
Georgia,https://www.youtube.com/watch?v=l0XRlNZbQFE
Hey There Delilah,https://www.youtube.com/watch?v=EbJtYqBYCV8
Last Resort,https://www.youtube.com/watch?v=j0lSpNtjPM8
Elastic Heart,https://www.youtube.com/watch?v=noHygl5CGEY
Fade to Black,https://www.youtube.com/watch?v=x8Q_KhMCszc
One More Night,https://www.youtube.com/watch?v=zKVq-P3z5Vg
Any Colour You Like,https://www.youtube.com/watch?v=bK7HJvmgFnM
What You Know,https://www.youtube.com/watch?v=DjMHaG4RuJk
Clint Eastwood,https://www.youtube.com/watch?v=1V_xRb0x9aw
Angels,https://www.youtube.com/watch?v=MPlnmfklP68
Youth,https://www.youtube.com/watch?v=Bs-Hr-gEJAU
Have a Cigar,https://www.youtube.com/watch?v=hMr3KtYUCcI
21 Guns,https://www.youtube.com/watch?v=YdXV271veWA
Elephant,https://www.youtube.com/watch?v=LnKUD_OztRE
Gooey,https://www.youtube.com/watch?v=jeo3an2M_Lo
Fireflies,https://www.youtube.com/watch?v=ytBR7ET_6uU
(Don't Fear) The Reaper,https://www.youtube.com/watch?v=Dy4HA3vUv2c
DNA.,https://www.youtube.com/watch?v=qGDsMXdQoyI
Uprising,https://www.youtube.com/watch?v=w8KQmps-Sog
Leave Out All the Rest,https://www.youtube.com/watch?v=yZIummTz9mM
Hey Jude,https://www.youtube.com/watch?v=A_MjCqQoLLA
Way Down We Go,https://www.youtube.com/watch?v=0-7IHOXkiV8
My Way,https://www.youtube.com/watch?v=0JZyNIPb2UA
It's Time,https://www.youtube.com/watch?v=xGytDsqkQY8
Into You,https://www.youtube.com/watch?v=FL-pm-xRb40
Without Me,https://www.youtube.com/watch?v=RBdv6ASZX5E
Walk of Life,https://www.youtube.com/watch?v=Sys9LCUo-AU
I See Fire,https://www.youtube.com/watch?v=2fngvQS_PmQ
I Feel It Coming,https://www.youtube.com/watch?v=qFLhGq0060w
Midnight,https://www.youtube.com/watch?v=k93EdJwarB0
Roar,https://www.youtube.com/watch?v=CevxZvSJLk8
Learn to Fly,https://www.youtube.com/watch?v=1VQ_3sBZEm0
Burn,https://www.youtube.com/watch?v=CGyEd0aKWZE
Best of You,https://www.youtube.com/watch?v=h_L4Rixya64
Tighten Up,https://www.youtube.com/watch?v=Wro3bqi4Eb8
Wind of Change,https://www.youtube.com/watch?v=n4RjJKxsamQ
Talking Body,https://www.youtube.com/watch?v=AzRyxGBGiAE
A Walk,https://www.youtube.com/watch?v=gmfcYli6vV4
My House,https://www.youtube.com/watch?v=AA4ayMlgsa0
Hymn For The Weekend - Seeb Remix,https://www.youtube.com/watch?v=k1gsZ-OsGpI
Mrs. Robinson,https://www.youtube.com/watch?v=9C1BCAgu2I8
Here,https://www.youtube.com/watch?v=fWNaR-rxAic
On the Run,https://www.youtube.com/watch?v=aY5X748vG1U
People Are Strange,https://www.youtube.com/watch?v=K3CHi_9sxj0
Shiver,https://www.youtube.com/watch?v=Il0S8BoucSA
Layla,https://www.youtube.com/watch?v=fX5USg8_1gA
Born to Be Wild,https://www.youtube.com/watch?v=SGS_QzrjyRM
Galway Girl,https://www.youtube.com/watch?v=XjHr-6Zl5P8
